month,pogoh_daily_avg,pogoh_campus_daily,pogoh_city_daily
Nov,1445.7,1099.2,346.5
Dec,635.7096774193549,479.741935483871,155.96774193548387
Jan,513.3225806451613,408.7096774193548,104.61290322580645
Feb,840.8214285714286,669.6785714285714,171.14285714285714
Mar,1157.5806451612902,811.4516129032259,346.1290322580645
Apr,1580.8,1145.4666666666667,435.3333333333333
May,1058.7096774193549,520.516129032258,538.1935483870968
Jun,1207.5333333333333,613.0333333333333,594.5
Jul,1414.516129032258,649.741935483871,764.7741935483871
Aug,2096.7419354838707,1237.967741935484,858.7741935483871
Sep,3369.3333333333335,2535.2,834.1333333333333
Oct,2957.967741935484,2287.7741935483873,670.1935483870968
